round,table_number,player_1,player_1_score,player_2,player_2_score
11,36,Nattapat Nak-in,THA,405,-
11,37,Gerry Carter,THA,353,-
11,38,Thomson Law,HKG,482,-
11,39,Waseem Khatri,PAK,455,-
11,40,Sanjoy Gupta,IND,307,-
11,41,Samuel Crispin,GBR,438,-
11,42,Apirat Choomai,THA,411,-
11,43,Mike Baron,USA,391,-
11,44,Doko Oluwatimilehin,NGA,493,-
12,1,Napat Vatjaranurathorn,THA,403,-
12,2,Josh Watt,AUS,398,-
12,3,Ricky Purnomo,SGP,355,-
12,4,Jason Keller,USA,482,-
12,5,David Eldar,AUS,536,-
12,6,CharnwitS Sukhumrattanaporn,THA,335,-
12,7,Nigel Richards,NZL,442,-
12,8,Darren Khoo,MYS,505,-
12,9,Trevor Halsall,AUS,448,-
12,10,Russell Honeybun,AUS,426,-
12,11,Kian Boon Liew,SGP,647,-
12,12,Jason Carney,GBR,433,-
12,13,David Webb,GBR,410,-
12,14,Chaiyottha Manachaisit,THA,434,-
12,15,Madhav Gopal Kamath,IND,498,-
12,16,Piotr Andronowski,GBR,420,-
12,17,Thacha Koowirat,THA,420,-
12,18,Irfan Siddiqui,BHR,484,-
12,19,Alexander Gozali,IDN,384,-
12,20,Jimoh Abdulmumin,NGA,415,-
12,21,Harshan Lamabadusuriya,GBR,539,-
12,22,Akegapun Erbprasartsook,THA,520,-
12,23,Brian Po,HKG,464,-
12,24,Dean Saldanha,CAN,472,-
12,25,Rik Kennedy,GBR,484,-
12,26,Samrath Singh Bhatia,IND,403,-
12,27,Ming Hui Hubert Wee,SGP,556,-
12,28,Pesol Kosalakood,THA,484,-
12,29,Nattapat Nak-in,THA,469,-
12,30,Udayan Grover,IND,487,-
12,31,Orlet Bullock,VCT,442,-
12,32,Odette Rio,PHL,462,-
12,33,Sanhanat Klanying,THA,494,-
12,34,Samson Okosagah,USA,472,-
12,35,Euclid Hui,HKG,490,-
12,36,CharnwitI Iamudom,THA,400,-
12,37,Sherwin Rodrigues,IND,500,-
12,38,Gerry Carter,THA,412,-
12,39,Waseem Khatri,PAK,498,-
12,40,Siddharth Nithyanand,IND,446,-
12,41,Samuel Crispin,GBR,571,-
12,42,Jack Moran,GBR,486,-
12,43,J Jeyaseelan,SGP,490,-
12,44,Doko Oluwatimilehin,NGA,554,-
13,1,Ben Schoenbrun,USA,422,-
13,2,Napat Vatjaranurathorn,THA,456,-
13,3,David Eldar,AUS,495,-
13,4,Jason Keller,USA,484,-
13,5,Soramet Mettaviharee,THA,476,-
13,6,Darren Khoo,MYS,424,-
13,7,Madhav Gopal Kamath,IND,453,-
13,8,Puttapong Moonsarn,THA,510,-
13,9,Komol Panyasophonlert,THA,479,-
13,10,Jesse Day,USA,481,-
13,11,Rasheed Balogun,USA,468,-
13,12,Cameron Farlow,AUS,455,-
13,13,Ricky Purnomo,SGP,476,-
13,14,Piotr Andronowski,GBR,492,-
13,15,Kian Boon Liew,SGP,394,-
13,16,Vannitha Balasingam,MYS,526,-
13,17,Rik Kennedy,GBR,528,-
13,18,Charles Carneiro,IND,546,-
13,19,Panupol Sujjayakorn,THA,420,-
13,20,Jakkrit Klaphajone,THA,385,-
13,21,Aditya Iyengar,IND,390,-
13,22,Suyash Manchali,IND,282,-
13,23,Irfan Siddiqui,BHR,549,-
13,24,Lukeman Owolabi,IRL,442,-
13,25,Akegapun Erbprasartsook,THA,389,-
13,26,Nopparuj Tipkaew,THA,404,-
13,27,Ezinore George,NGA,455,-
13,28,Dean Saldanha,CAN,408,-
13,29,Marlon Prudencio,SGP,373,-
13,30,Euclid Hui,HKG,421,-
13,31,Pesol Kosalakood,THA,498,-
13,32,Michael Gongolo,KEN,570,-
13,33,Nuti Suri,THA,499,-
13,34,Norases Vesdapunt,THA,389,-
13,35,Waseem Khatri,PAK,498,-
13,36,Ryan Wee,SGP,407,-
13,37,Ishika Shivalingaiah,IND,449,-
13,38,Orlet Bullock,VCT,516,-
13,39,Thomson Law,HKG,417,-
13,40,William Kang,MYS,406,-
13,41,Thitipol Barameemuang,THA,358,-
13,42,J Jeyaseelan,SGP,471,-
13,43,Apirat Choomai,THA,378,-
13,44,Mike Baron,USA,352,-
14,1,Ben Schoenbrun,USA,411,-
14,2,Akshay Bhandarkar,IND,436,-
14,3,David Eldar,AUS,447,-
14,4,Dave Wiegand,USA,465,-
14,5,Andrew Fisher,AUS,472,-
14,6,Madhav Gopal Kamath,IND,454,-
14,7,Russell Honeybun,AUS,376,-
14,8,Weibin Toh,SGP,415,-
14,9,Rob Robinsky,USA,425,-
14,10,Trevor Halsall,AUS,367,-
14,11,Joshua Castellano,USA,556,-
14,12,Panupol Sujjayakorn,THA,484,-
14,13,Rik Kennedy,GBR,395,-
14,14,Chaiyottha Manachaisit,THA,368,-
14,15,CharnwitS Sukhumrattanaporn,THA,506,-
14,16,Aditya Iyengar,IND,481,-
14,17,Irfan Siddiqui,BHR,349,-
14,18,Cameron Farlow,AUS,506,-
14,19,Harshan Lamabadusuriya,GBR,388,-
14,20,Austin Shin,USA,468,-
14,21,Akegapun Erbprasartsook,THA,469,-
14,22,Samrath Singh Bhatia,IND,426,-
14,23,Charles Carneiro,IND,502,-
14,24,Siu Hean Cheah,SGP,426,-
14,25,Ezinore George,NGA,385,-
